Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F2100023,SPRITE ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,58.000 ,
F21000245,THE LONDON ESSENCE WHITE PEACH & JASMINE SODA ΦΙΑΛΗ (200ML),Bottles,72.000 ,
F2100180,THOMAS HENRY CHERRY BLOSSOM TONIC (200ML),Bottles,16.000 ,
F2100191,THREE CENTS AEGEAN TONIC (200ML),Bottles,30.000 ,
F2100178,THREE CENTS GENTLEMEN'S SODA (200ML),Bottles,71.000 ,
F2100167,THREE CENTS GINGER BEER (200ML),Bottles,8.000 ,
F2100150,THREE CENTS PINK GRAPEFRUIT SODA (200ML),Bottles,84.000 ,
F21000280,THREE CENTS SODA PINEAPLLE (200ML),Bottles,33.000 ,
F2100173,THREE CENTS TONIC WATER (200ML),Bottles,48.000 ,
F2100040,TONIC SCHWEPPES ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,48.000 ,
F2100121,ΠΡΑΣΙΝΟ ΤΣΑΙ ΜΕ ΛΕΜΟΝΙ MANGAJO (250ML),Bottles,72.000 ,
F2100122,ΠΡΑΣΙΝΟ ΤΣΑΙ ΜΕ ΡΟΔΙ MANGAJO (250ML),Bottles,67.000 ,
F2100124,ΣΟΔΑ SCHWEPPES PET (24*500ML),Bottles,48.000 ,
F2100125,ΣΟΔΑ SCHWEPPES ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,212.000 ,
F2200068,ΝΕΡΟ ACQUA PANNA ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (15*750ML),Bottles,4.000 ,
F2200022,ΝΕΡΟ EVIAN ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (12*750ΜL),Bottles,4.000 ,
F2200051,ΝΕΡΟ EVIAN ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (20*330ML),Bottles,79.000 ,
F2200087,"ΝΕΡΟ ΖΑΓΟΡΙ ''SANI"" ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ ΓΥΑΛΙ (12*1L)",Bottles,42.000 ,
F2210011,ΝΕΡΟ PERRIER ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΓΥΑΛΙ (24*330ML),Bottles,44.000 ,
